,,,,,,,,,,,,,,,,,,,,,,
SamplingDate,SO2_6AM_10AM,SO2_10AM_2PM,SO2_2PM_6PM,SO2_6PM_10PM,SO2_10PM_2AM,SO2_2AM_6AM,NO2_6AM_10AM,NO2_10AM_2PM,NO2_2PM_6PM,NO2_6PM_10PM,NO2_10PM_2AM,NO2_2AM_6AM,RSPM_6AM_2PM,RSPM_2PM_10PM,RSPM_10PM_6AM,SPM_6AM_2PM,SPM_2PM_10PM,SPM_10PM_6AM,RSPM,SO2,SPM,NO2
4/1/2008,5.4,4,4.2,4.2,4,4,37.7,17,23.5,16.8,43.6,43.6,179,114,54,433,323,86,115.6666,4.3,280.6666,30.3666
8/1/2008,4,4,4,4,12.5,4,25.4,17.9,12.2,17.9,11.2,10.1,162,124,206,320,339,243,164,5.4166,300.6666,15.7833
29/07/2008,8,9.1,4,4,4,10.8,26.3,24.6,53.7,29.1,25.6,16.8,173,141,95,252,190,101,136.3333,6.65,181,29.35
3/10/2008,11.6,4,,8.9,4,5.5,54.8,70.2,,56.7,45.9,41.8,78,74,48,172,226,90,66.6666,6.8,162.6666,53.88
7/10/2008,7.5,,,6.7,10.8,,89.5,,,47.7,38,,156,,115,231,,142,135.5,,186.5,
10/10/2008,9.9,,7.5,8.9,,4,84,,35,132,,41,75,111,238,226,144,392,141.3333,7.575,254,73
14/10/2008,4,9.5,5,10.8,23.3,4,71.1,67.8,34.7,51.5,66,44.8,117,107,77,172,131,100,100.3333,9.4333,134.3333,55.9833
17/10/2008,9.5,10.8,4,4,4,4,66.4,78.3,83.6,50.2,58.2,36.9,81,131,69,132,167,99,93.6666,6.05,132.6666,62.2666
28/10/2008,4,14.1,10.8,8.3,4,4,26.9,34.7,24.6,30.2,20.1,33.6,70,111,102,168,206,155,94.3333,7.5333,176.3333,28.35
31/10/2008,4,10.6,8.3,13.6,4.9,4,72.7,66.2,43.6,69.6,34.7,24.6,78,74,48,172,226,90,66.6666,7.5666,162.6666,51.9
1/4/2008,6,4,4,4,5.8,4.2,53.7,22.4,20.1,12.3,22.4,24.6,169,162,115,210,170,144,148.6666,4.6666,174.6666,25.9166
4/4/2008,4,6.7,8.3,4,4,4,46,30.7,25.7,28,22.4,24.6,107,78,64,182,179,76,83,5.1666,145.6666,29.5666
8/4/2008,,,7.5,5,4,4,,,30.2,28,19,21.3,,127,47,,301,65,87,5.125,183,24.625
11/4/2008,,10.8,12.5,4,4,4,,35.8,31.3,17.4,21.3,19,232,118,55,321,320,112,135,7.06,251,24.96
15/04/2008,8.6,7.7,12.5,4,4,6.7,26.9,22.5,45.9,35.8,31.3,28,140,116,73,282,166,78,109.6666,7.25,175.3333,31.7333
22/04/2008,,,5.8,4,4,4,,,16.8,17.9,19,16.8,,149,121,,229,164,135,4.45,196.5,17.625
25/04/2008,,,9.5,10,4,,,,34.5,31.3,17.9,,,101,74,,209,96,87.5,,152.5,
29/04/2008,,12.5,5.8,4,4,4,,29.1,16.8,14.5,21.3,19,284,174,73,387,494,158,177,6.06,346.3333,20.14
5/10/2007,4,4,4.2,5.8,4,4,25.7,33.6,33.6,26.9,33.6,26.9,89,296,59,142,480,136,148,4.3333,252.6666,30.05
9/10/2007,4,4.2,4,4,4,4,32.6,42.4,39.1,35.8,26.9,26.9,231,127,67,262,180,97,141.6666,4.0333,179.6666,33.95
12/10/2007,4.2,,4.2,4,10,4,56,,26.9,23.9,16.8,16.8,148,86,57,215,221,91,97,5.28,175.6666,28.08
16/10/2007,5.3,5.8,,4,4,4,46.6,29.1,,16.6,12.3,11.2,71,100,47,208,103,49,72.6666,4.62,120,23.16
19/10/2007,8.6,7.8,8.3,,,,30.7,32.8,26.9,,,,120,96,,293,241,,108,,267,
23/10/2007,4,7.8,,,4,4,44.8,18.3,,,31.3,36.9,73,,73,146,,106,73,4.95,126,32.825
26/10/2007,7.5,5.7,10,5.1,4,4,51.5,13.8,24.2,12.1,17.9,13.4,86,76,56,130,135,70,72.6666,6.05,111.6666,22.15
30/10/2007,7.5,4,4.2,4,4,5,32.5,26.2,21.3,22.4,12.3,11.2,138,102,98,194,164,104,112.6666,4.7833,154,20.9833
11/1/2008,4.8,7.8,8.6,9.1,9.1,18.3,19.2,19.9,16.6,21.3,19,21.3,144,245,110,345,251,310,166.3333,9.6166,302,19.55
18/01/2008,4,4,4,4,4,4,35.8,41.4,42.5,26.9,30.2,44.8,105,135,59,349,319,152,99.6666,4,273.3333,36.9333
22/01/2008,10.2,12.5,6.7,4,5.8,4,22.5,25.7,25.7,53.7,36.9,43.6,90,80,219,345,113,235,129.6666,7.2,231,34.6833
25/01/2008,10.5,15,12.5,10,5.8,4,39.6,40.3,48.1,39.2,33.6,31.3,131,80,104,359,302,185,105,9.6333,282,38.6833
29/01/2008,6.7,11.6,8.3,4,4,13.3,29.1,41.4,45.9,40.3,31.3,21.3,230,348,161,249,465,182,246.3333,7.9833,298.6666,34.8833
2/9/2008,4,,7.5,13.3,4.9,4,34,,42.5,61.2,51.5,34.5,12,108,70,243,243,151,63.3333,6.74,212.3333,44.74
5/9/2008,4,,4,,4,4,26.9,,41.4,,46,35.8,114,205,78,236,324,133,132.3333,4,231,37.525
9/9/2008,7.8,9.1,10.8,6.7,4,4,58.2,53.7,58.2,45.9,32.5,40.3,129,110,81,256,179,152,106.6666,7.0666,195.6666,48.1333
16/09/2008,,,4,13.3,4,4,,,26.9,63.5,44.8,32.5,100,125,77,348,316,135,100.6666,6.325,266.3333,41.925
19/09/2008,4,,6.7,4,10.8,4,40.3,,54.8,53.7,44.9,33.6,229,114,55,273,409,81,132.6666,5.9,254.3333,45.46
23/09/2008,6.7,8.3,,8,4,4,43.3,59.3,,55.2,24.6,55.5,69,92,54,114,168,138,71.6666,6.2,140,47.58
26/09/2008,4,15,,7.8,19.1,4,50.8,24.6,,44.8,45.9,34.3,163,60,40,265,124,124,87.6666,9.98,171,40.08
30/09/2008,4.9,7.5,,4,6.7,12.2,19.7,31.3,,25.4,49.2,35.8,90,101,91,201,277,143,94,7.06,207,32.28
4/3/2008,9,9.8,12.5,4,4,4,44.3,35.8,43.6,29.8,28,22.4,114,132,303,422,299,309,183,7.2166,343.3333,33.9833
7/3/2008,8.2,8.3,4,9.1,4,4,26.9,28,21.5,30.2,21.3,17.9,283,171,93,452,435,254,182.3333,6.2666,380.3333,24.3
11/3/2008,8.9,11.3,4,4,4,4,37.3,33.9,33.6,46.3,20.1,16.8,123,99,41,251,247,128,87.6666,6.0333,208.6666,31.3333
14/03/2008,4,4,5.8,4,4,5.8,24.4,30.5,30.1,30,25.7,17.9,77,132,45,116,197,93,84.6666,4.6,135.3333,26.4333
18/03/2008,12.5,10.8,9.1,4,4,6.7,40.3,32.5,41.4,33.6,38,31.3,84,70,44,225,168,63,66,7.85,152,36.1833
25/03/2008,108,7.4,8.3,4,4,4,31.3,27.5,32.5,30.7,16.8,16.8,129,105,135,211,116,186,123,22.6166,171,25.9333
28/03/2008,7.5,12.7,13.3,4,4,4,43.6,52.4,35.8,37.1,40.3,28,145,119,43,194,200,94,102.3333,7.5833,162.6666,39.5333
12/8/2008,4,4,4,6.7,4,4.9,47.4,41.4,87.3,31.3,39.2,22.4,51,110,70,131,191,78,77,4.6,133.3333,44.8333
19/08/2008,4,4,4,4,4,4,104.9,43.6,31.3,26.9,22.4,13.4,104,123,145,275,275,179,124,4,243,40.4166
22/08/2008,4,,20,4,8.3,4,35.8,,13.4,25.7,35.8,31.3,93,143,24,236,401,101,86.6666,8.06,246,28.4
26/08/2008,5.8,,4,,4,7.5,26.9,,23.9,,28.5,22.4,56,113,79,130,189,102,82.6666,5.325,140.3333,25.425
29/08/2008,4,,11.8,,,,77.6,,90.3,,,,88,,,180,,,,,,
2/3/2007,9.1,11.6,14.1,17.5,11.6,8.3,20.1,23.5,26.9,30.2,17.9,12.3,80,121,71,374,439,164,90.66666667,12.03333333,325.66666667,21.81666667
13/03/2007,,,9.1,10.8,14.1,11.6,,,19,23.5,26.9,15.7,,90,68,,241,151,79,11.4,196,21.275
16/03/2007,,,8.3,11.6,14.1,10.8,,,17.9,21.3,25.7,19,,156,57,,430,161,106.5,11.2,295.5,20.975
20/03/2007,9.1,11.6,14.1,10.6,,,19,23.5,29.1,24.6,,,117,134,,307,307,,125.5,11.35,307,24.05
23/03/2007,9.1,11.6,20,13.3,10.8,8.3,14.5,17.9,33.2,26.9,20.1,19,129,91,65,352,484,79,95,12.18333333,305,21.93333333
27/03/2007,,,19,11.6,15,9.1,,,24.2,17.9,10.1,14.5,,110,64,,331,113,87,13.675,222,16.675
30/03/2007,,,13.3,17.5,15.8,10.8,,,23.5,26.9,34.7,19,,144,89,,393,104,116.5,14.35,248.5,26.025
27/06/2008,,9.1,10.8,7.5,4,4,,23.5,17.9,20.1,16.8,16.8,73,84,64,230,179,98,73.6666,7.08,169,19.02
4/12/2007,,7.5,9.1,4,5.8,4,,14.5,35.8,26.9,17.9,16.8,386,247,46,408,583,93,226.3333,6.08,361.3333,22.38
7/12/2007,,4,6.7,5.5,4,17.5,,16.5,14.5,19.4,19,14.5,223,169,63,239,332,148,151.6666,7.54,239.6666,16.7799
11/12/2007,4,7.5,10,6.7,4,4,19.2,19,16.8,29.8,12.3,12.3,156,150,53,197,517,156,119.6666,6.0333,290,18.2333
14/12/2007,,10.8,6.7,4,4,5,,24.6,22.4,20.1,17.9,16.8,170,85,132,338,233,173,129,6.1,248,20.36
18/12/2007,,9.1,,,6.7,4,,31.3,,,20.1,14.5,115,,22,219,,81,68.5,,150,
28/12/2007,,,4,4,,,,,31.7,43.6,,,,101,,,293,,,,,
2/5/2008,,8.3,10.8,4,4,5.8,,31.3,34.7,28,28,21.3,256,149,56,479,399,78,153.6666,6.58,318.6666,28.66
6/5/2008,,9.2,6.7,4,4,4,,20.7,30.2,25.7,22.4,21.3,,127,109,,224,140,118,5.58,182,24.06
9/5/2008,4,9.1,8.3,5.8,4,4,41.6,36.9,29.1,22.4,28,32.5,253,130,58,382,182,121,147,5.8666,228.3333,31.75
13/05/2008,8.6,10.8,4,6.7,4,4,39.6,32.5,36.9,29.1,28,28,85,117,77,159,293,101,93,6.35,184.3333,32.35
16/05/2008,7.5,8.3,11.6,6.7,4,4,26.9,23.5,30.2,28,17.9,16.8,94,160,76,358,190,143,110,7.0166,230.3333,23.8833
20/05/2008,,9.1,10.8,4,8.3,4,,32.5,44.8,26.9,38,26.9,238,228,103,285,263,197,189.6666,7.24,248.3333,33.82
23/05/2008,,10,12.5,4,4,6.7,,21.3,20.1,24.6,29.1,16.8,114,116,68,234,168,83,99.3333,7.44,161.6666,22.38
27/05/2008,4,10.8,9.1,4,4,4,24.6,29.1,20.1,24.6,17.9,21.3,100,72,83,242,149,93,85,5.9833,161.3333,22.9333
30/05/2008,9.1,13.6,7.5,4,4,4,29.1,29.3,33.6,20.1,21.3,17.9,70,102,45,208,287,90,72.3333,7.0333,195,25.2166
3/6/2008,,9.1,7.5,4,4,4,,30.2,24.7,28,21.3,20.1,147,124,132,312,377,214,134.3333,5.72,301,24.86
6/6/2008,,,11.4,12.5,4,4,,,32,34.7,22.4,20.1,,55,61,,136,69,58,7.975,102.5,27.3
10/6/2008,,10.8,12.5,4,4,4,,38,32.5,35.8,21.3,24.6,169,97,73,342,113,102,113,7.06,185.6666,30.44
13/06/2008,7.8,8.9,9.1,4,4,4,43.3,37.3,34.7,24.4,21.3,25.7,85,92,46,94,170,76,74.3333,6.3,113.3333,31.1166
17/06/2008,9.1,7.5,8.3,4,4,4,32.5,34.7,28,22.4,26.9,30.3,111,69,48,128,133,50,76,6.15,103.6666,29.1333
20/06/2008,,,9.1,7.6,4,4,,,28,28.1,20.1,21.3,,67,66,,100,88,66.5,6.175,94,24.375
24/06/2008,,,,4,7.5,4,,,,21.9,20.1,21.3,,,45,,,101,,,,
1/2/2008,,5,8.3,4,4,4,,32.5,38,40.3,21.3,19,97,194,59,114,339,69,116.6666,5.06,174,30.22
5/2/2008,,5,6.7,9.7,4,15,,28,38,21,23.5,19,329,210,69,354,385,181,202.6666,8.08,306.6666,25.9
8/2/2008,,4,4,,4,4,,17.9,9,,9,107,319,97,44,349,359,74,153.3333,4,260.6666,35.725
12/2/2008,4,8.3,13.3,19,4,4,24.9,33.6,17.9,20.5,49.2,39.2,200,96,78,300,334,79,124.6666,8.7666,237.6666,30.8833
15/02/2008,10.6,4,4,4,4,4,17.9,25.7,17.9,33,10.1,9,135,168,78,467,390,87,127,5.1,314.6666,18.9333
19/02/2008,,7.5,9.1,4,4,4,,36.9,41.4,21.3,23.5,22.4,153,80,98,462,195,210,110.3333,5.72,289,29.1
22/02/2008,,10.5,6.7,5.3,4,4,,26.9,25.7,38.2,20.1,16.8,95,96,97,327,323,149,96,6.1,266.3333,25.54
26/02/2008,,10.3,,10,4,4,,46.8,,31.3,40.3,17.9,,119,98,,342,147,108.5,7.075,244.5,34.075
29/02/2008,,7.8,6.7,4.5,4,4,,32.8,20.1,24.4,33.6,21.3,452,114,66,473,355,197,210.6666,5.4,341.6666,26.44
1/8/2008,,,9.9,4,4,8.3,,,50.4,64.9,47,56,,101,118,,234,152,109.5,6.55,193,54.575
5/8/2008,8.6,4.9,4,4,4,37.4,40.9,33.6,29.1,26.9,71.6,87.3,131,188,79,340,195,163,132.6666,10.4833,232.6666,48.2333
8/8/2008,8.3,,7.5,4,4,5.8,22.4,,35.8,57.1,49.2,56,94,71,81,234,210,124,82,5.92,189.3333,44.1
1/7/2008,4,10,7.5,4,4,4,29.8,30.5,23.5,22.8,16.8,12.3,147,71,56,172,152,83,91.3333,5.5833,135.6666,22.6166
8/7/2008,4,9.1,11.6,4,4,5,48.8,30.2,20.1,16.6,22.4,35.8,85,102,61,344,320,68,82.6666,6.2833,244,28.9833
11/7/2008,4,6.7,5,4,4,8.3,31.3,25.7,21.3,23.5,14.5,16.8,97,76,49,128,127,108,74,5.3333,121,22.1833
15/07/2008,,12.5,8.3,5.8,4,4,,25.7,20.1,22.4,15.7,12.3,102,61,61,262,235,96,74.6666,6.92,197.6666,19.24
18/07/2008,,9.1,8.3,4,4,4,,26.9,22.4,21.7,19,16.8,119,107,64,234,332,88,96.6666,5.88,218,21.36
22/07/2008,4,,4,9.1,4.2,4,75.2,,34.7,31.3,49.2,33.6,,96,75,,218,136,85.5,5.06,177,44.8
25/07/2008,4,4.1,7.5,4,5.8,9.9,65.8,70.2,45.9,44.8,59.3,40.3,74,129,113,104,202,114,105.3333,5.8833,140,54.3833
